kind,match_id,outcome,date,label,selection,verdict,score,model_prob,market_implied,edge,ev,decimal_odds,stake_usd,why,cautions,stake_raw_usd
match,72,home,2026-06-27,Algeria vs Austria,Algeria (home),LEAN,4.0,0.3822,0.2528,0.1294,0.4333,3.75,8.89,"model 38% vs market fair 25% = +12.9pp edge, EV +0.43/$1 at 3.75",line moved AGAINST model since open (3.60→3.75) — the market is hardening the other way | coin-flip match (entropy 1.58 bits) — stake halved,19.7
match,64,away,2026-06-26,Cape Verde vs Saudi Arabia,Saudi Arabia (away),LEAN,4.0,0.5049,0.3574,0.1475,0.3632,2.7,22.57,"model 50% vs market fair 36% = +14.8pp edge, EV +0.36/$1 at 2.70",line moved AGAINST model since open (2.30→2.70) — the market is hardening the other way,50.0
match,11,home,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast (home),LEAN,3.78,0.3625,0.2661,0.0964,0.305,3.6,6.62,"model 36% vs market fair 27% = +9.6pp edge, EV +0.30/$1 at 3.60",line moved AGAINST model since open (3.30→3.60) — the market is hardening the other way | coin-flip match (entropy 1.58 bits) — stake halved,14.66
match,14,away,2026-06-15,Belgium vs Egypt,Egypt (away),LEAN,3.69,0.2524,0.1575,0.0949,0.4513,5.75,5.36,"model 25% vs market fair 16% = +9.5pp edge, EV +0.45/$1 at 5.75",line moved AGAINST model since open (5.00→5.75) — the market is hardening the other way | coin-flip match (entropy 1.54 bits) — stake halved,11.88
match,63,away,2026-06-26,Uruguay vs Spain,Spain (away),LEAN,3.59,0.6186,0.5921,0.0265,0.0177,1.6452,3.1,"model 62% vs market fair 59% = +2.6pp edge, EV +0.02/$1 at 1.65 | favorite side — the zone where the model is most trustworthy",,6.87
futures,,,,Tournament winner,Spain,LEAN,3.58,0.2101,0.1654,0.0447,0.1555,5.5,3.9,"model 21.0% vs market fair 16.5% = +4.5pp edge, EV +0.16/$1 at 450",,8.64
match,70,home,2026-06-27,Uzbekistan vs DR Congo,Uzbekistan (home),LEAN,3.53,0.3961,0.3039,0.0922,0.2477,3.15,6.5,"model 40% vs market fair 30% = +9.2pp edge, EV +0.25/$1 at 3.15",line moved AGAINST model since open (2.85→3.15) — the market is hardening the other way | coin-flip match (entropy 1.57 bits) — stake halved,14.4
match,49,home,2026-06-24,Canada vs Switzerland,Canada (home),LEAN,3.2,0.3262,0.2728,0.0534,0.1417,3.5,3.2,"model 33% vs market fair 27% = +5.3pp edge, EV +0.14/$1 at 3.50 | line moved TOWARD model since open (3.65→3.50) — sharp money on our side of the number",coin-flip match (entropy 1.58 bits) — stake halved | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error,7.08
match,47,home,2026-06-23,Panama vs Croatia,Panama (home),LEAN,3.0,0.3232,0.1406,0.1826,1.1008,6.5,11.28,"model 32% vs market fair 14% = +18.3pp edge, EV +1.10/$1 at 6.50 | line moved TOWARD model since open (7.00→6.50) — sharp money on our side of the number",longshot — ELO compression inflates underdog probs (model bias) | coin-flip match (entropy 1.58 bits) — stake halved | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error,25.0
match,67,home,2026-06-27,Panama vs England,Panama (home),LEAN,3.0,0.2132,0.1054,0.1078,0.8122,8.5,12.22,"model 21% vs market fair 11% = +10.8pp edge, EV +0.81/$1 at 8.50 | line moved TOWARD model since open (12.00→8.50) — sharp money on our side of the number",longshot — ELO compression inflates underdog probs (model bias) | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error,27.07
