kind,match_id,outcome,date,label,selection,verdict,score,model_prob,market_implied,edge,ev,decimal_odds,stake_usd,why,cautions,stake_raw_usd
match,26,draw,2026-06-18,Switzerland vs Bosnia and Herzegovina,Draw (draw),PASS,0.0,0.2609,0.2274,0.0335,0.0958,4.2,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,69,draw,2026-06-27,Colombia vs Portugal,Draw (draw),PASS,0.0,0.3251,0.286,0.0391,0.0891,3.35,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,61,draw,2026-06-26,Norway vs France,Draw (draw),PASS,0.0,0.2981,0.2609,0.0372,0.0881,3.65,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,68,draw,2026-06-27,Croatia vs Ghana,Draw (draw),PASS,0.0,0.2722,0.2423,0.0299,0.0752,3.95,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,60,draw,2026-06-25,Paraguay vs Australia,Draw (draw),PASS,0.0,0.3169,0.2841,0.0328,0.0616,3.35,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,59,draw,2026-06-25,USA vs Turkey,Draw (draw),PASS,0.0,0.2907,0.26,0.0307,0.0611,3.65,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,32,draw,2026-06-19,Paraguay vs Turkey,Draw (draw),PASS,0.0,0.3239,0.2929,0.031,0.0527,3.25,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,28,draw,2026-06-18,Mexico vs South Korea,Draw (draw),PASS,0.0,0.3137,0.2849,0.0288,0.0509,3.35,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,54,draw,2026-06-24,South Korea vs South Africa,Draw (draw),PASS,0.0,0.2563,0.2314,0.0249,0.0508,4.1,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,22,draw,2026-06-17,England vs Croatia,Draw (draw),PASS,0.0,0.2692,0.2437,0.0255,0.0364,3.85,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,43,draw,2026-06-22,Norway vs Senegal,Draw (draw),PASS,0.0,0.281,0.2661,0.0149,0.0116,3.6,0.0,draw bet — model upweights draws 1.75× by design; this 'edge' is model bias,,0.0
match,55,home,2026-06-25,Ecuador vs Germany,Ecuador (home),PASS,0.0,0.2082,0.1966,0.0116,-0.0006,4.8,0.0,negative EV — the price is better than the model,,0.0
match,63,draw,2026-06-26,Uruguay vs Spain,Draw (draw),PASS,0.0,0.2475,0.2377,0.0098,-0.01,4.0,0.0,negative EV — the price is better than the model,,0.0
match,61,away,2026-06-26,Norway vs France,France (away),PASS,0.0,0.528,0.5192,0.0088,-0.0129,1.8696,0.0,negative EV — the price is better than the model,,0.0
match,17,draw,2026-06-16,France vs Senegal,Draw (draw),PASS,0.0,0.2227,0.2128,0.0099,-0.0201,4.4,0.0,negative EV — the price is better than the model,,0.0
match,53,draw,2026-06-24,Mexico vs Czechia,Draw (draw),PASS,0.0,0.2717,0.2634,0.0083,-0.0219,3.6,0.0,negative EV — the price is better than the model,,0.0
match,19,draw,2026-06-16,Argentina vs Algeria,Draw (draw),PASS,0.0,0.2125,0.2056,0.0069,-0.0225,4.6,0.0,negative EV — the price is better than the model,,0.0
match,30,draw,2026-06-19,Scotland vs Morocco,Draw (draw),PASS,0.0,0.2953,0.2879,0.0074,-0.0255,3.3,0.0,negative EV — the price is better than the model,,0.0
match,72,draw,2026-06-27,Algeria vs Austria,Draw (draw),PASS,0.0,0.3044,0.2981,0.0063,-0.0259,3.2,0.0,negative EV — the price is better than the model,,0.0
match,41,draw,2026-06-22,Argentina vs Austria,Draw (draw),PASS,0.0,0.2491,0.2445,0.0046,-0.0285,3.9,0.0,negative EV — the price is better than the model,,0.0
match,28,home,2026-06-18,Mexico vs South Korea,Mexico (home),PASS,0.0,0.4837,0.4843,-0.0006,-0.0326,2.0,0.0,negative EV — the price is better than the model,,0.0
match,26,home,2026-06-18,Switzerland vs Bosnia and Herzegovina,Switzerland (home),PASS,0.0,0.6022,0.6087,-0.0065,-0.0328,1.6061,0.0,negative EV — the price is better than the model,,0.0
match,39,away,2026-06-21,Uruguay vs Cape Verde,Cape Verde (away),PASS,0.0,0.1289,0.1213,0.0076,-0.0333,7.5,0.0,negative EV — the price is better than the model,,0.0
match,32,home,2026-06-19,Paraguay vs Turkey,Paraguay (home),PASS,0.0,0.2295,0.2241,0.0054,-0.0361,4.2,0.0,negative EV — the price is better than the model,,0.0
match,69,away,2026-06-27,Colombia vs Portugal,Portugal (away),PASS,0.0,0.4374,0.4406,-0.0032,-0.0377,2.2,0.0,negative EV — the price is better than the model,,0.0
match,22,home,2026-06-17,England vs Croatia,England (home),PASS,0.0,0.5587,0.5633,-0.0046,-0.0422,1.7143,0.0,negative EV — the price is better than the model,,0.0
match,57,away,2026-06-25,Tunisia vs Netherlands,Netherlands (away),PASS,0.0,0.6201,0.647,-0.0269,-0.0699,1.5,0.0,negative EV — the price is better than the model,,0.0
match,33,home,2026-06-20,Netherlands vs Sweden,Netherlands (home),PASS,0.0,0.5633,0.5934,-0.0301,-0.0733,1.6452,0.0,negative EV — the price is better than the model,,0.0
match,11,draw,2026-06-14,Ivory Coast vs Ecuador,Draw (draw),PASS,0.0,0.3205,0.3386,-0.0181,-0.0866,2.85,0.0,negative EV — the price is better than the model,,0.0
match,16,home,2026-06-15,Iran vs New Zealand,Iran (home),PASS,0.0,0.4933,0.5287,-0.0354,-0.0956,1.8333,0.0,negative EV — the price is better than the model,,0.0
match,32,away,2026-06-19,Paraguay vs Turkey,Turkey (away),PASS,0.0,0.4466,0.483,-0.0364,-0.1068,2.0,0.0,negative EV — the price is better than the model,,0.0
match,51,away,2026-06-24,Scotland vs Brazil,Brazil (away),PASS,0.0,0.6002,0.6621,-0.0619,-0.1206,1.4651,0.0,negative EV — the price is better than the model,,0.0
match,39,home,2026-06-21,Uruguay vs Cape Verde,Uruguay (home),PASS,0.0,0.6088,0.6743,-0.0655,-0.1206,1.4444,0.0,negative EV — the price is better than the model,,0.0
match,41,home,2026-06-22,Argentina vs Austria,Argentina (home),PASS,0.0,0.5341,0.5927,-0.0586,-0.1213,1.6452,0.0,negative EV — the price is better than the model,,0.0
match,10,draw,2026-06-14,Netherlands vs Japan,Draw (draw),PASS,0.0,0.2484,0.263,-0.0146,-0.1306,3.5,0.0,negative EV — the price is better than the model,,0.0
match,55,away,2026-06-25,Ecuador vs Germany,Germany (away),PASS,0.0,0.4948,0.5592,-0.0644,-0.1387,1.7407,0.0,negative EV — the price is better than the model,,0.0
match,68,home,2026-06-27,Croatia vs Ghana,Croatia (home),PASS,0.0,0.5212,0.5939,-0.0727,-0.1425,1.6452,0.0,negative EV — the price is better than the model,,0.0
match,51,home,2026-06-24,Scotland vs Brazil,Scotland (home),PASS,0.0,0.1426,0.1525,-0.0099,-0.1444,6.0,0.0,negative EV — the price is better than the model,,0.0
match,36,draw,2026-06-20,Tunisia vs Japan,Draw (draw),PASS,0.0,0.2256,0.2564,-0.0308,-0.1653,3.7,0.0,negative EV — the price is better than the model,,0.0
match,69,home,2026-06-27,Colombia vs Portugal,Colombia (home),PASS,0.0,0.2376,0.2734,-0.0358,-0.1684,3.5,0.0,negative EV — the price is better than the model,,0.0
match,28,away,2026-06-18,Mexico vs South Korea,South Korea (away),PASS,0.0,0.2026,0.2309,-0.0283,-0.1693,4.1,0.0,negative EV — the price is better than the model,,0.0
match,22,away,2026-06-17,England vs Croatia,Croatia (away),PASS,0.0,0.1721,0.193,-0.0209,-0.1739,4.8,0.0,negative EV — the price is better than the model,,0.0
match,36,home,2026-06-20,Tunisia vs Japan,Tunisia (home),PASS,0.0,0.1545,0.1775,-0.023,-0.1889,5.25,0.0,negative EV — the price is better than the model,,0.0
match,19,home,2026-06-16,Argentina vs Algeria,Argentina (home),PASS,0.0,0.5733,0.6938,-0.1205,-0.1927,1.4082,0.0,negative EV — the price is better than the model,,0.0
match,9,home,2026-06-14,Germany vs Curacao,Germany (home),PASS,0.0,0.7837,0.9399,-0.1562,-0.1939,1.0286,0.0,negative EV — the price is better than the model,,0.0
match,57,home,2026-06-25,Tunisia vs Netherlands,Tunisia (home),PASS,0.0,0.1233,0.1403,-0.017,-0.1986,6.5,0.0,negative EV — the price is better than the model,,0.0
match,46,home,2026-06-23,England vs Ghana,England (home),PASS,0.0,0.6098,0.7429,-0.1331,-0.1996,1.3125,0.0,negative EV — the price is better than the model,,0.0
match,13,home,2026-06-15,Spain vs Cape Verde,Spain (home),PASS,0.0,0.7345,0.9018,-0.1673,-0.2043,1.0833,0.0,negative EV — the price is better than the model,,0.0
match,62,home,2026-06-26,Senegal vs Iraq,Senegal (home),PASS,0.0,0.5641,0.6918,-0.1277,-0.2056,1.4082,0.0,negative EV — the price is better than the model,,0.0
match,26,away,2026-06-18,Switzerland vs Bosnia and Herzegovina,Bosnia and Herzegovina (away),PASS,0.0,0.1369,0.1638,-0.0269,-0.2128,5.75,0.0,negative EV — the price is better than the model,,0.0
match,52,home,2026-06-24,Morocco vs Haiti,Morocco (home),PASS,0.0,0.5791,0.7163,-0.1372,-0.2141,1.3571,0.0,negative EV — the price is better than the model,,0.0
match,17,home,2026-06-16,France vs Senegal,France (home),PASS,0.0,0.5282,0.6578,-0.1296,-0.2203,1.4762,0.0,negative EV — the price is better than the model,,0.0
match,27,home,2026-06-18,Canada vs Qatar,Canada (home),PASS,0.0,0.6022,0.7529,-0.1507,-0.2207,1.2941,0.0,negative EV — the price is better than the model,,0.0
match,21,home,2026-06-17,Portugal vs DR Congo,Portugal (home),PASS,0.0,0.608,0.7618,-0.1538,-0.2231,1.2778,0.0,negative EV — the price is better than the model,,0.0
match,11,away,2026-06-14,Ivory Coast vs Ecuador,Ecuador (away),PASS,0.0,0.317,0.3953,-0.0783,-0.2233,2.45,0.0,negative EV — the price is better than the model,,0.0
match,31,home,2026-06-19,Brazil vs Haiti,Brazil (home),PASS,0.0,0.7067,0.9048,-0.1981,-0.2344,1.0833,0.0,negative EV — the price is better than the model,,0.0
match,45,home,2026-06-23,Portugal vs Uzbekistan,Portugal (home),PASS,0.0,0.6153,0.7887,-0.1734,-0.2399,1.2353,0.0,negative EV — the price is better than the model,,0.0
match,37,home,2026-06-21,Spain vs Saudi Arabia,Spain (home),PASS,0.0,0.6875,0.8886,-0.2011,-0.2437,1.1,0.0,negative EV — the price is better than the model,,0.0
match,67,away,2026-06-27,Panama vs England,England (away),PASS,0.0,0.5791,0.7534,-0.1743,-0.2506,1.2941,0.0,negative EV — the price is better than the model,,0.0
match,61,home,2026-06-26,Norway vs France,Norway (home),PASS,0.0,0.1739,0.2199,-0.046,-0.2522,4.3,0.0,negative EV — the price is better than the model,,0.0
match,59,away,2026-06-25,USA vs Turkey,Turkey (away),PASS,0.0,0.2748,0.3553,-0.0805,-0.258,2.7,0.0,negative EV — the price is better than the model,,0.0
match,6,home,2026-06-13,Brazil vs Morocco,Brazil (home),PASS,0.0,0.439,0.5746,-0.1356,-0.2582,1.6897,0.0,negative EV — the price is better than the model,,0.0
match,63,home,2026-06-26,Uruguay vs Spain,Uruguay (home),PASS,0.0,0.1339,0.1702,-0.0363,-0.2636,5.5,0.0,negative EV — the price is better than the model,,0.0
match,10,home,2026-06-14,Netherlands vs Japan,Netherlands (home),PASS,0.0,0.3768,0.4855,-0.1087,-0.2643,1.9524,0.0,negative EV — the price is better than the model,,0.0
match,49,away,2026-06-24,Canada vs Switzerland,Switzerland (away),PASS,0.0,0.342,0.4504,-0.1084,-0.2647,2.15,0.0,negative EV — the price is better than the model,,0.0
match,25,away,2026-06-18,South Africa vs Czechia,Czechia (away),PASS,0.0,0.4113,0.5513,-0.14,-0.2723,1.7692,0.0,negative EV — the price is better than the model,,0.0
match,71,away,2026-06-27,Jordan vs Argentina,Argentina (away),PASS,0.0,0.6107,0.8218,-0.2111,-0.273,1.1905,0.0,negative EV — the price is better than the model,,0.0
match,14,home,2026-06-15,Belgium vs Egypt,Belgium (home),PASS,0.0,0.4548,0.6069,-0.1521,-0.2777,1.5882,0.0,negative EV — the price is better than the model,,0.0
match,42,home,2026-06-22,France vs Iraq,France (home),PASS,0.0,0.6399,0.8709,-0.231,-0.2801,1.125,0.0,negative EV — the price is better than the model,,0.0
match,34,home,2026-06-20,Germany vs Ivory Coast,Germany (home),PASS,0.0,0.4593,0.625,-0.1657,-0.2855,1.5556,0.0,negative EV — the price is better than the model,,0.0
match,33,away,2026-06-20,Netherlands vs Sweden,Sweden (away),PASS,0.0,0.1357,0.1797,-0.044,-0.2876,5.25,0.0,negative EV — the price is better than the model,,0.0
match,16,draw,2026-06-15,Iran vs New Zealand,Draw (draw),PASS,0.0,0.199,0.2717,-0.0727,-0.3035,3.5,0.0,negative EV — the price is better than the model,,0.0
match,48,home,2026-06-23,Colombia vs DR Congo,Colombia (home),PASS,0.0,0.4709,0.6709,-0.2,-0.3151,1.4545,0.0,negative EV — the price is better than the model,,0.0
match,72,away,2026-06-27,Algeria vs Austria,Austria (away),PASS,0.0,0.3134,0.4491,-0.1357,-0.3262,2.15,0.0,negative EV — the price is better than the model,,0.0
match,30,home,2026-06-19,Scotland vs Morocco,Scotland (home),PASS,0.0,0.1641,0.2295,-0.0654,-0.3272,4.1,0.0,negative EV — the price is better than the model,,0.0
match,35,home,2026-06-20,Ecuador vs Curacao,Ecuador (home),PASS,0.0,0.5564,0.8136,-0.2572,-0.3323,1.2,0.0,negative EV — the price is better than the model,,0.0
match,54,away,2026-06-24,South Korea vs South Africa,South Africa (away),PASS,0.0,0.1159,0.1622,-0.0463,-0.3336,5.75,0.0,negative EV — the price is better than the model,,0.0
match,12,away,2026-06-14,Tunisia vs Sweden,Sweden (away),PASS,0.0,0.3441,0.5095,-0.1654,-0.3431,1.9091,0.0,negative EV — the price is better than the model,,0.0
match,15,away,2026-06-15,Saudi Arabia vs Uruguay,Uruguay (away),PASS,0.0,0.4454,0.6758,-0.2304,-0.3567,1.4444,0.0,negative EV — the price is better than the model,,0.0
match,53,away,2026-06-24,Mexico vs Czechia,Czechia (away),PASS,0.0,0.1409,0.2085,-0.0676,-0.3659,4.5,0.0,negative EV — the price is better than the model,,0.0
match,56,away,2026-06-25,Curacao vs Ivory Coast,Ivory Coast (away),PASS,0.0,0.5142,0.8011,-0.2869,-0.3715,1.2222,0.0,negative EV — the price is better than the model,,0.0
match,29,home,2026-06-19,USA vs Australia,USA (home),PASS,0.0,0.3976,0.62,-0.2224,-0.3752,1.5714,0.0,negative EV — the price is better than the model,,0.0
match,5,away,2026-06-13,Qatar vs Switzerland,Switzerland (away),PASS,0.0,0.5149,0.8079,-0.293,-0.3767,1.2105,0.0,negative EV — the price is better than the model,,0.0
match,44,away,2026-06-22,Jordan vs Algeria,Algeria (away),PASS,0.0,0.4152,0.6515,-0.2363,-0.3772,1.5,0.0,negative EV — the price is better than the model,,0.0
match,43,home,2026-06-22,Norway vs Senegal,Norway (home),PASS,0.0,0.2891,0.4517,-0.1626,-0.3784,2.15,0.0,negative EV — the price is better than the model,,0.0
match,70,away,2026-06-27,Uzbekistan vs DR Congo,DR Congo (away),PASS,0.0,0.2645,0.4109,-0.1464,-0.3784,2.35,0.0,negative EV — the price is better than the model,,0.0
match,20,home,2026-06-16,Austria vs Jordan,Austria (home),PASS,0.0,0.4591,0.7297,-0.2706,-0.3853,1.339,0.0,negative EV — the price is better than the model,,0.0
match,24,away,2026-06-17,Uzbekistan vs Colombia,Colombia (away),PASS,0.0,0.4197,0.7004,-0.2807,-0.4157,1.3922,0.0,negative EV — the price is better than the model,,0.0
match,47,away,2026-06-23,Panama vs Croatia,Croatia (away),PASS,0.0,0.3549,0.6239,-0.269,-0.4479,1.5556,0.0,negative EV — the price is better than the model,,0.0
match,38,home,2026-06-21,Belgium vs Iran,Belgium (home),PASS,0.0,0.392,0.6918,-0.2998,-0.448,1.4082,0.0,negative EV — the price is better than the model,,0.0
match,8,away,2026-06-13,Australia vs Turkey,Turkey (away),PASS,0.0,0.3141,0.5652,-0.2511,-0.4615,1.7143,0.0,negative EV — the price is better than the model,,0.0
match,7,away,2026-06-13,Haiti vs Scotland,Scotland (away),PASS,0.0,0.3479,0.6391,-0.2912,-0.469,1.5263,0.0,negative EV — the price is better than the model,,0.0
match,58,away,2026-06-25,Japan vs Sweden,Sweden (away),PASS,0.0,0.1464,0.2666,-0.1202,-0.4803,3.55,0.0,negative EV — the price is better than the model,,0.0
match,65,away,2026-06-26,New Zealand vs Belgium,Belgium (away),PASS,0.0,0.3832,0.7555,-0.3723,-0.5041,1.2941,0.0,negative EV — the price is better than the model,,0.0
match,18,home,2026-06-16,Norway vs Iraq,Norway (home),PASS,0.0,0.4085,0.8118,-0.4033,-0.5098,1.2,0.0,negative EV — the price is better than the model,,0.0
match,66,home,2026-06-26,Egypt vs Iran,Egypt (home),PASS,0.0,0.2079,0.4218,-0.2139,-0.5218,2.3,0.0,negative EV — the price is better than the model,,0.0
match,60,home,2026-06-25,Paraguay vs Australia,Paraguay (home),PASS,0.0,0.2274,0.4598,-0.2324,-0.5225,2.1,0.0,negative EV — the price is better than the model,,0.0
match,23,home,2026-06-17,Ghana vs Panama,Ghana (home),PASS,0.0,0.2178,0.4488,-0.231,-0.5317,2.15,0.0,negative EV — the price is better than the model,,0.0
match,64,home,2026-06-26,Cape Verde vs Saudi Arabia,Cape Verde (home),PASS,0.0,0.1875,0.3948,-0.2073,-0.5406,2.45,0.0,negative EV — the price is better than the model,,0.0
match,50,away,2026-06-24,Qatar vs Bosnia and Herzegovina,Bosnia and Herzegovina (away),PASS,0.0,0.2676,0.5914,-0.3238,-0.5597,1.6452,0.0,negative EV — the price is better than the model,,0.0
match,40,away,2026-06-21,New Zealand vs Egypt,Egypt (away),PASS,0.0,0.2115,0.5506,-0.3391,-0.6258,1.7692,0.0,negative EV — the price is better than the model,,0.0
futures,,,,Tournament winner,New Zealand,PASS,0.0,0.0127,0.0001,0.0126,18.0627,1501.0,0.0,"model 1.3% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Iran,PASS,0.0,0.0168,0.0003,0.0165,10.7768,701.0,0.0,"model 1.7% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Australia,PASS,0.0,0.0125,0.0004,0.0121,6.5125,601.0,0.0,"model 1.2% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Korea Republic,PASS,0.0,0.0183,0.0008,0.0175,6.3383,401.0,0.0,"model 1.8% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Panama,PASS,0.0,0.0032,0.0001,0.0031,2.2032,1001.0,0.0,"model 0.3% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Uzbekistan,PASS,0.0,0.0019,0.0001,0.0018,1.8519,1501.0,0.0,"model 0.2% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Canada,PASS,0.0,0.0115,0.0026,0.0089,1.3115,201.0,0.0,"model 1.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Côte d'Ivoire,PASS,0.0,0.0086,0.0018,0.0068,1.1586,251.0,0.0,"model 0.9% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Iraq,PASS,0.0,0.0014,0.0001,0.0013,1.1014,1501.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Saudi Arabia,PASS,0.0,0.0017,0.0001,0.0016,0.7017,1001.0,0.0,"model 0.2% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Jordan,PASS,0.0,0.0006,0.0,0.0006,0.5006,2501.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Senegal,PASS,0.0,0.0147,0.0077,0.007,0.3377,91.0,0.0,"model 1.5% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Algeria,PASS,0.0,0.0038,0.001,0.0028,0.3338,351.0,0.0,"model 0.4% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Netherlands,PASS,0.0,0.0445,0.0413,0.0032,-0.0655,21.0,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Croatia,PASS,0.0,0.0086,0.0077,0.0009,-0.2174,91.0,0.0,"model 0.9% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,England,PASS,0.0,0.0957,0.1129,-0.0172,-0.2344,8.0,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Germany,PASS,0.0,0.0507,0.0589,-0.0082,-0.2395,15.0,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Qatar,PASS,0.0,0.0005,0.0001,0.0004,-0.2495,1501.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Brazil,PASS,0.0,0.0626,0.0853,-0.0227,-0.3427,10.5,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Argentina,PASS,0.0,0.0649,0.0897,-0.0248,-0.351,10.0,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Switzerland,PASS,0.0,0.0095,0.0115,-0.002,-0.373,66.0,0.0,"model 0.9% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Belgium,PASS,0.0,0.0147,0.0199,-0.0052,-0.3973,41.0,0.0,"model 1.5% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Uruguay,PASS,0.0,0.0086,0.0115,-0.0029,-0.4324,66.0,0.0,"model 0.9% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Egypt,PASS,0.0,0.0018,0.0014,0.0004,-0.4582,301.0,0.0,"model 0.2% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,France,PASS,0.0,0.0785,0.1581,-0.0796,-0.5486,5.75,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Portugal,PASS,0.0,0.0381,0.0946,-0.0565,-0.6381,9.5,0.0,negative EV — market price is fair or better,,0.0
futures,,,,Tournament winner,Tunisia,PASS,0.0,0.0007,0.0006,0.0001,-0.6493,501.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Colombia,PASS,0.0,0.0082,0.0199,-0.0117,-0.6638,41.0,0.0,"model 0.8% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Turkey,PASS,0.0,0.0035,0.0077,-0.0042,-0.6815,91.0,0.0,"model 0.4% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Curaçao,PASS,0.0,0.0001,0.0,0.0001,-0.7499,2501.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Haiti,PASS,0.0,0.0001,0.0,0.0001,-0.7499,2501.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Ghana,PASS,0.0,0.0008,0.0014,-0.0006,-0.7592,301.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Congo DR,PASS,0.0,0.0002,0.0001,0.0001,-0.7998,1001.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Austria,PASS,0.0,0.0013,0.0039,-0.0026,-0.8037,151.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Ecuador,PASS,0.0,0.0023,0.009,-0.0067,-0.8137,81.0,0.0,"model 0.2% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Norway,PASS,0.0,0.0037,0.023,-0.0193,-0.8668,36.0,0.0,"model 0.4% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Sweden,PASS,0.0,0.001,0.0053,-0.0043,-0.879,121.0,0.0,"model 0.1% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Scotland,PASS,0.0,0.0004,0.0026,-0.0022,-0.9196,201.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Czechia,PASS,0.0,0.0002,0.0018,-0.0016,-0.9498,251.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Paraguay,PASS,0.0,0.0001,0.0014,-0.0013,-0.9699,301.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Bosnia-Herzegovina,PASS,0.0,0.0,0.0006,-0.0006,-1.0,501.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,South Africa,PASS,0.0,0.0,0.0001,-0.0001,-1.0,1001.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Cape Verde Islands,PASS,0.0,0.0,0.0001,-0.0001,-1.0,1001.0,0.0,"model 0.0% < 2% = under ~200 of 10k sims — Monte Carlo tail noise at long odds, not edge",,0.0
futures,,,,Tournament winner,Morocco,PASS,-0.34,0.0239,0.0156,0.0083,0.2189,51.0,0.0,"model 2.4% vs market fair 1.6% = +0.8pp edge, EV +0.22/$1 at 5000","sub-5% winner prob — thin sim support, keep stake token-sized | signal too weak after bias haircuts",0.0
match,35,away,2026-06-20,Ecuador vs Curacao,Curacao (away),PASS,-1.0,0.1818,0.0654,0.1164,1.3634,13.0,0.0,"model 18% vs market fair 7% = +11.6pp edge, EV +1.36/$1 at 13.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (12.00→13.00) — the market is hardening the other way | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error | signal too weak after bias haircuts,0.0
match,56,home,2026-06-25,Curacao vs Ivory Coast,Curacao (home),PASS,-1.0,0.1802,0.0669,0.1133,1.3426,13.0,0.0,"model 18% vs market fair 7% = +11.3pp edge, EV +1.34/$1 at 13.00",longshot — ELO compression inflates underdog probs (model bias) | line moved AGAINST model since open (9.00→13.00) — the market is hardening the other way | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error | signal too weak after bias haircuts,0.0
