match_id,outcome,date,label,selection,verdict,category,model_prob,market_implied,taken_decimal,stake_usd,logged_at,closing_decimal,closing_as_of,close_is_final,clv_pct,beat_close,status,pnl_usd
54,home,2026-06-24,South Korea vs South Africa,South Korea (home),BET,fav,0.6278,0.4943,1.9524,19.35,2026-06-11T12:25:14Z,1.606,2026-06-13T05:00:06Z,False,21.56,True,pending,0.0
43,away,2026-06-22,Norway vs Senegal,Senegal (away),BET,dog,0.4299,0.2822,3.4,9.31,2026-06-11T12:25:14Z,3.4,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
16,away,2026-06-15,Iran vs New Zealand,New Zealand (away),BET,dog,0.3077,0.1996,4.7,11.67,2026-06-11T12:25:14Z,4.7,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
10,away,2026-06-14,Netherlands vs Japan,Japan (away),BET,dog,0.3748,0.2565,3.6,6.5,2026-06-11T12:25:14Z,3.65,2026-06-13T05:00:06Z,False,-1.37,False,pending,0.0
3,home,2026-06-12,Canada vs Bosnia and Herzegovina,Canada (home),BET,fav,0.6602,0.5285,1.8333,19.35,2026-06-11T12:25:14Z,1.87,2026-06-12T21:00:09Z,True,-1.94,False,LOST,-19.35
30,away,2026-06-19,Scotland vs Morocco,Morocco (away),BET,fav,0.5406,0.4847,2.0,7.85,2026-06-11T12:25:14Z,2.0,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
36,away,2026-06-20,Tunisia vs Japan,Japan (away),BET,fav,0.6199,0.5661,1.7143,8.49,2026-06-11T12:25:14Z,1.714,2026-06-13T05:00:06Z,False,0.0,True,pending,0.0
6,away,2026-06-13,Brazil vs Morocco,Morocco (away),BET,dog,0.248,0.17,5.5,3.91,2026-06-11T12:25:14Z,5.25,2026-06-13T05:00:06Z,False,4.76,True,pending,0.0
7,home,2026-06-13,Haiti vs Scotland,Haiti (home),BET,dog,0.3207,0.1545,6.0,8.94,2026-06-11T12:25:14Z,6.0,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
60,away,2026-06-25,Paraguay vs Australia,Australia (away),BET,dog,0.4557,0.2633,3.6,9.67,2026-06-11T12:25:14Z,3.6,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
40,home,2026-06-21,New Zealand vs Egypt,New Zealand (home),BET,dog,0.3236,0.2014,4.7,6.81,2026-06-11T12:25:14Z,4.7,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
65,home,2026-06-26,New Zealand vs Belgium,New Zealand (home),LEAN,dog,0.2745,0.0893,10.0,9.37,2026-06-11T12:25:14Z,10.0,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
17,away,2026-06-16,France vs Senegal,Senegal (away),LEAN,dog,0.2491,0.1295,7.0,11.99,2026-06-11T12:25:14Z,7.0,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
53,home,2026-06-24,Mexico vs Czechia,Mexico (home),LEAN,fav,0.5874,0.5393,1.8,6.93,2026-06-11T12:25:14Z,1.833,2026-06-13T05:00:06Z,False,-1.82,False,pending,0.0
29,away,2026-06-19,USA vs Australia,Australia (away),LEAN,dog,0.2859,0.2099,4.5,3.96,2026-06-11T12:25:14Z,5.5,2026-06-13T05:00:06Z,False,-18.18,False,pending,0.0
58,home,2026-06-25,Japan vs Sweden,Japan (home),LEAN,fav,0.4965,0.4588,2.1,3.75,2026-06-11T12:25:14Z,2.1,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
50,home,2026-06-24,Qatar vs Bosnia and Herzegovina,Qatar (home),LEAN,dog,0.4231,0.1544,6.0,9.67,2026-06-11T12:25:14Z,5.75,2026-06-13T05:00:06Z,False,4.35,True,pending,0.0
8,home,2026-06-13,Australia vs Turkey,Australia (home),LEAN,dog,0.3974,0.1781,5.25,9.67,2026-06-11T12:25:14Z,5.0,2026-06-13T05:00:06Z,False,5.0,True,pending,0.0
66,away,2026-06-26,Egypt vs Iran,Iran (away),LEAN,dog,0.3996,0.2624,3.65,8.37,2026-06-11T12:25:14Z,3.65,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
64,away,2026-06-26,Cape Verde vs Saudi Arabia,Saudi Arabia (away),LEAN,dog,0.5049,0.3364,2.85,19.35,2026-06-11T12:25:14Z,3.05,2026-06-13T05:00:06Z,False,-6.56,False,pending,0.0
72,home,2026-06-27,Algeria vs Austria,Algeria (home),LEAN,dog,0.3822,0.2592,3.75,7.62,2026-06-11T12:25:14Z,3.75,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
11,home,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast (home),LEAN,dog,0.3625,0.2661,3.6,5.67,2026-06-11T12:25:14Z,3.6,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
63,away,2026-06-26,Uruguay vs Spain,Spain (away),LEAN,fav,0.6186,0.5921,1.6452,2.66,2026-06-11T12:25:14Z,1.645,2026-06-13T05:00:06Z,False,0.0,True,pending,0.0
70,home,2026-06-27,Uzbekistan vs DR Congo,Uzbekistan (home),LEAN,dog,0.3961,0.3039,3.15,5.57,2026-06-11T12:25:14Z,3.15,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
2,home,2026-06-11,South Korea vs Czechia,South Korea (home),LEAN,dog,0.4467,0.3555,2.7,5.86,2026-06-11T12:25:14Z,2.65,2026-06-11T21:00:05Z,True,1.89,True,WON,9.96
49,home,2026-06-24,Canada vs Switzerland,Canada (home),LEAN,dog,0.3262,0.2728,3.5,2.74,2026-06-11T12:25:14Z,3.5,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
32,away,2026-06-19,Paraguay vs Turkey,Turkey (away),LEAN,fav,0.4466,0.4277,2.25,0.19,2026-06-11T12:25:14Z,2.0,2026-06-13T05:00:06Z,False,12.5,True,pending,0.0
47,home,2026-06-23,Panama vs Croatia,Panama (home),LEAN,dog,0.3232,0.1406,6.5,9.67,2026-06-11T12:25:14Z,6.5,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
67,home,2026-06-27,Panama vs England,Panama (home),LEAN,dog,0.2132,0.1054,8.5,10.47,2026-06-11T12:25:14Z,8.5,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
4,home,2026-06-12,USA vs Paraguay,USA (home),LEAN,fav,0.5246,0.4597,2.1,9.26,2026-06-12T15:42:47Z,2.05,2026-06-13T03:00:05Z,True,2.44,True,WON,10.19
14,away,2026-06-15,Belgium vs Egypt,Egypt (away),LEAN,dog,0.2524,0.1575,5.75,4.76,2026-06-12T15:42:47Z,5.75,2026-06-13T05:00:06Z,False,0.0,False,pending,0.0
